Source	URL	Bias	Score
Wake Up World	https://mediabiasfactcheck.com/wake-up-world/	CP	x
Got Questions	https://mediabiasfactcheck.com/got-questions-gotquestions-org/	CP	x
Counter Propa	https://mediabiasfactcheck.com/counter-propa/	CP	x
Popular Technology	https://mediabiasfactcheck.com/popular-technology/	CP	x
Australian National Review	https://mediabiasfactcheck.com/australian-national-review/	CP	x
Murica Today	https://mediabiasfactcheck.com/murica-today/	CP	x
Hello Christian	https://mediabiasfactcheck.com/hello-christian/	CP	x
Homeopathy Journal	https://mediabiasfactcheck.com/homeopathy-journal/	CP	x
The International Reporter	https://mediabiasfactcheck.com/the-international-reporter/	CP	x
Jesus is Savior	https://mediabiasfactcheck.com/jesus-is-savior/	CP	x
Medicine News	https://mediabiasfactcheck.com/medicine-news/	CP	x
iHealthtube.com	https://mediabiasfactcheck.com/ihealthtube/	CP	x
Nutritionfacts.org	https://mediabiasfactcheck.com/nutritionfacts-org/	CP	x
American Intelligence Media	https://mediabiasfactcheck.com/american-intelligence-media/	CP	x
Climate Etc	https://mediabiasfactcheck.com/climate-etc/	CP	x
Behold Israel	https://mediabiasfactcheck.com/behold-israel/	CP	x
Extraordinary News	https://mediabiasfactcheck.com/extraordinary-news/	CP	x
Dr. Axe	https://mediabiasfactcheck.com/dr-axe/	CP	x
Eco News	https://mediabiasfactcheck.com/eco-news/	CP	x
Escape all these Things	https://mediabiasfactcheck.com/escape-all-these-things/	CP	x
Earth We are One (EWAO)	https://mediabiasfactcheck.com/earth-one-ewao/	CP	x
Healthy Vibes	https://mediabiasfactcheck.com/healthy-vibes/	CP	x
The Crusader Journal	https://mediabiasfactcheck.com/the-crusader-journal/	CP	x
Anti News Network	https://mediabiasfactcheck.com/anti-news-network/	CP	x
Truth Theory	https://mediabiasfactcheck.com/truth-theory/	CP	x
Cosmic Intelligence Agency	https://mediabiasfactcheck.com/cosmic-intelligence-agency/	CP	x
Fellowship of the Minds	https://mediabiasfactcheck.com/fellowship-of-the-minds/	CP	x
UK Column	https://mediabiasfactcheck.com/uk-column/	CP	x
Real News 24	https://mediabiasfactcheck.com/real-news-24/	CP	x
Media Roots	https://mediabiasfactcheck.com/media-roots/	CP	x
Naturally Savvy	https://mediabiasfactcheck.com/naturally-savvy/	CP	x
Revolution Radio	https://mediabiasfactcheck.com/revolution-radio/	CP	x
Alternative News Network	https://mediabiasfactcheck.com/alternative-news-network/	CP	x
Science Factz	https://mediabiasfactcheck.com/science-factz/	CP	x
Food Matters	https://mediabiasfactcheck.com/food-matters/	CP	x
HAARP.net	https://mediabiasfactcheck.com/haarp-net/	CP	x
LifeSpa	https://mediabiasfactcheck.com/lifespa/	CP	x
Eluxe Magazine	https://mediabiasfactcheck.com/eluxe-magazine/	CP	x
Natural Society	https://mediabiasfactcheck.com/natural-society/	CP	x
Alliance for Advanced Health	https://mediabiasfactcheck.com/alliance-advanced-health/	CP	x
Conspiracy Daily Update	https://mediabiasfactcheck.com/conspiracy-daily-update/	CP	x
Prophecy News Watch	https://mediabiasfactcheck.com/prophecy-news-watch/	CP	x
The Aware	https://mediabiasfactcheck.com/the-aware/	CP	x
Enlightened Planet	https://mediabiasfactcheck.com/enlightened-planet/	CP	x
CreationWiki	https://mediabiasfactcheck.com/creationwiki/	CP	x
The Daily Conspiracy	https://mediabiasfactcheck.com/the-daily-conspiracy/	CP	x
USAWatchdog.com	https://mediabiasfactcheck.com/usawatchdog-com/	CP	x
Christian Ministries International	https://mediabiasfactcheck.com/christian-ministries-international/	CP	x
Thought Crime Radio	https://mediabiasfactcheck.com/thought-crime-radio/	CP	x
Simple Organic Medicine	https://mediabiasfactcheck.com/simple-organic-medicine/	CP	x
DoctorOz.com (Dr. Oz)	https://mediabiasfactcheck.com/doctoroz-com/	CP	x
X22 Report	https://mediabiasfactcheck.com/x22-report/	CP	x
Architects & Engineers for 9/11 Truth	https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/	CP	x
MindBodyGreen	https://mediabiasfactcheck.com/mindbodygreen/	CP	x
Global Healing Center	https://mediabiasfactcheck.com/global-healing-center/	CP	x
Vaxxter	https://mediabiasfactcheck.com/vaxxter/	CP	x
Press for Truth	https://mediabiasfactcheck.com/press-for-truth/	CP	x
American Digital News	https://mediabiasfactcheck.com/american-digital-news/	CP	x
Truth Command	https://mediabiasfactcheck.com/truth-command/	CP	x
Health Consciousness	https://mediabiasfactcheck.com/health-consciousness/	CP	x
Dark Journalist 	https://mediabiasfactcheck.com/dark-journalist/	CP	x
Iowa Climate Science Education	https://mediabiasfactcheck.com/iowa-climate-science-education/	CP	x
Livestrong.com	https://mediabiasfactcheck.com/livestrong-com/	CP	x
Independent Science News	https://mediabiasfactcheck.com/independent-science-news/	CP	x
SGT Report	https://mediabiasfactcheck.com/sgt-report/	CP	8.5
NeuroNation	https://mediabiasfactcheck.com/neuronation/	CP	x
Need to Know	https://mediabiasfactcheck.com/need-to-know/	CP	x
National Vaccine Information Institute	https://mediabiasfactcheck.com/national-vaccine-information-center-nvic/	CP	x
JunkScience.com	https://mediabiasfactcheck.com/junkscience-com/	CP	9.5
Forever Conscious	https://mediabiasfactcheck.com/forever-conscious/	CP	x
Daily Grail	https://mediabiasfactcheck.com/daily-grail/	CP	x
Christian Apologetics & Research Ministry (CARM)	https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/	CP	x
Climate Change Dispatch	https://mediabiasfactcheck.com/climate-change-dispatch/	CP	x
Return to Now	https://mediabiasfactcheck.com/return-to-now/	CP	x
Evidence for God from Science	https://mediabiasfactcheck.com/evidence-for-god-from-science/	CP	x
GetCancerRemedies.com	https://mediabiasfactcheck.com/getcancerremedies-com/	CP	x
911Truth.org	https://mediabiasfactcheck.com/911truth-org/	CP	x
AlternativeNews.com	https://mediabiasfactcheck.com/alternativenews-com/	CP	9.5
Firefighters for 9/11 Unity and Truth	https://mediabiasfactcheck.com/firefighters-for-9-11-truth-and-unity/	CP	x
Prepare for Change	https://mediabiasfactcheck.com/prepare-for-change/	CP	x
Jesus Daily	https://mediabiasfactcheck.com/jesus-daily/	CP	x
Freedom Advocates	https://mediabiasfactcheck.com/freedom-advocates-agenda-21/	CP	9
VacTruth.com	https://mediabiasfactcheck.com/vactruth-com/	CP	x
Healthy Holistic Living	https://mediabiasfactcheck.com/healthy-holistic-living/	CP	x
Acting Man	https://mediabiasfactcheck.com/acting-man/	L	6.5
Addicting Info	https://mediabiasfactcheck.com/addicting-info/	L	7.25
Advocate	https://mediabiasfactcheck.com/advocate/	L	6.5
All That's Fab	https://mediabiasfactcheck.com/all-thats-fab/	L	7.75
Alternative Media Syndicate	https://mediabiasfactcheck.com/alternative-media-syndicate/	L	7.5
Alternet	https://mediabiasfactcheck.com/alternet/	L	7.75
Amandla	https://mediabiasfactcheck.com/amandla/	L	6
America Blog	https://mediabiasfactcheck.com/americablog/	L	6.5
American Bridge 21st Century	https://mediabiasfactcheck.com/american-bridge-21st-century/	L	7
American News X	https://mediabiasfactcheck.com/american-news-x/	L	7.5
Backed By Fact	https://mediabiasfactcheck.com/backed-by-fact/	L	5.75
Bay Area Reporter	https://mediabiasfactcheck.com/bay-area-reporter/	L	5.5
Bitch Media	https://mediabiasfactcheck.com/bitch-media/	L	6
Black Agenda Report	https://mediabiasfactcheck.com/black-agenda-report/	L	5.75
Black Lives Matter	https://mediabiasfactcheck.com/black-lives-matter/	L	5.5
Blue Dot Daily	https://mediabiasfactcheck.com/blue-dot-daily/	L	8
Blue Nation Review	https://mediabiasfactcheck.com/blue-nation-review/	L	8
BoingBoing	https://mediabiasfactcheck.com/boing-boing/	L	5
Bust Magazine	https://mediabiasfactcheck.com/bust-magazine/	L	6.5
Canadian Dimension	https://mediabiasfactcheck.com/canadian-dimension/	L	5.75
Carbonated TV	https://mediabiasfactcheck.com/carbonated-tv/	L	7
Center for American Progress	https://mediabiasfactcheck.com/center-for-american-progress/	L	5.5
Center for Media and Democracy	https://mediabiasfactcheck.com/center-for-media-and-democracy/	L	6.25
Chicago Reader	https://mediabiasfactcheck.com/chicago-reader/	L	5.5
Chronicles of Democracy	https://mediabiasfactcheck.com/chronicles-of-democracy/	L	6.25
CNN	https://mediabiasfactcheck.com/cnn/	L	5.75
Common Dream	https://mediabiasfactcheck.com/common-dreams/	L	7
Cosmopolitan	https://mediabiasfactcheck.com/cosmopolitan/	L	8
CounterPunch	https://mediabiasfactcheck.com/counterpunch/	L	6.75
Crooks and Liars	https://mediabiasfactcheck.com/crooks-and-liars/	L	8
Current Affairs	https://mediabiasfactcheck.com/current-affairs-magazine/	L	6
Daily Beast	https://mediabiasfactcheck.com/daily-beast/	L	6.75
Daily Dot	https://mediabiasfactcheck.com/daily-dot/	L	5.25
Daily Kos	https://mediabiasfactcheck.com/daily-kos/	L	7.75
Daily Mirror	https://mediabiasfactcheck.com/daily-mirror/	L	6.75
Daily News bin	https://mediabiasfactcheck.com/daily-news-bin/	L	7.75
Dallas Voice	https://mediabiasfactcheck.com/dallas-voice/	L	5.5
Dead State	https://mediabiasfactcheck.com/dead-state/	L	7.75
DeathandTaxes	https://mediabiasfactcheck.com/deathandtaxes/	L	6.5
Democracy Now	https://mediabiasfactcheck.com/democracy-now/	L	6
Democratic Underground	https://mediabiasfactcheck.com/democratic-underground/	L	7.5
Dissent Magazine	https://mediabiasfactcheck.com/dissent-magazine/	L	5.75
Drudge Retort	https://mediabiasfactcheck.com/drudge-retort/	L	6.75
Economy in Crisis	https://mediabiasfactcheck.com/economy-in-crisis/	L	6
Electronic Intifada	https://mediabiasfactcheck.com/electronic-intifada/	L	5.25
Elisabeth Parker	https://mediabiasfactcheck.com/elisabeth-parker/	L	7
Elite Daily	https://mediabiasfactcheck.com/elite-daily/	L	5.25
Esquire Magazine	https://mediabiasfactcheck.com/esquire-magazine/	L	5
Everyday Feminism	https://mediabiasfactcheck.com/everyday-feminism/	L	5.25
Evonomics	https://mediabiasfactcheck.com/evonomics/	L	6.5
Filming Cops	https://mediabiasfactcheck.com/filming-cops/	L	6
Forward Progressives	https://mediabiasfactcheck.com/forward-progressives/	L	7.25
Gizmodo	https://mediabiasfactcheck.com/gizmodo/	L	5.25
Good Magazine	https://mediabiasfactcheck.com/good-magazine/	L	5.75
GOPOPALPYSE	https://mediabiasfactcheck.com/gopocalypse/	L	8
GQ Magazine	https://mediabiasfactcheck.com/gq-magazine/	L	5
Greenville Gazette	https://mediabiasfactcheck.com/greenville-gazette/	L	5.75
Groopspeak	https://mediabiasfactcheck.com/groopspeak/	L	8
Guardian Liberty Voice	https://mediabiasfactcheck.com/guardian-liberty-voice/	L	5.75
Huffington Post	https://mediabiasfactcheck.com/huffington-post/	L	6
In These Times	https://mediabiasfactcheck.com/in-these-times/	L	5.75
Inequality Media	https://mediabiasfactcheck.com/inequality-media/	L	5.5
Jacobin	https://mediabiasfactcheck.com/jacobin/	L	6
Jezebel	https://mediabiasfactcheck.com/jezebel/	L	7.5
Lavender Magazine	https://mediabiasfactcheck.com/lavender-magazine/	L	5.5
Left Action	https://mediabiasfactcheck.com/left-action/	L	6.5
Left Side of History	https://mediabiasfactcheck.com/left-side-of-history/	L	6.75
LGBTQ Nation	https://mediabiasfactcheck.com/lgbtq-nation/	L	5
Liberal America	https://mediabiasfactcheck.com/liberal-america/	L	8
Liberals Unite	https://mediabiasfactcheck.com/liberals-unite-samuel-warde/	L	7
Little Green Footballs	https://mediabiasfactcheck.com/little-green-footballs/	L	6.25
Mashable	https://mediabiasfactcheck.com/mashable/	L	5.75
Mean Left Hook	https://mediabiasfactcheck.com/mean-left-hook/	L	7.75
Media Matters	https://mediabiasfactcheck.com/media-matters/	L	7.25
Mediaite	https://mediabiasfactcheck.com/mediaite/	L	7.25
Merry Jane	https://mediabiasfactcheck.com/merry-jane/	L	5.75
Miami New Times	https://mediabiasfactcheck.com/miami-new-times-2/	L	6.75
Middle East Monitor	https://mediabiasfactcheck.com/middle-east-monitor/	L	6
Modern Liberals	https://mediabiasfactcheck.com/modern-liberals/	L	6.25
Mondoweiss	https://mediabiasfactcheck.com/mondoweiss/	L	5.25
Move On	https://mediabiasfactcheck.com/move-on/	L	7.75
MSNBC	https://mediabiasfactcheck.com/msnbc/	L	6.25
Nap-Sack	https://mediabiasfactcheck.com/nap-sack/	L	5.75
Nation of Change	https://mediabiasfactcheck.com/nation-of-change/	L	6.75
New Internationalist	https://mediabiasfactcheck.com/new-internationalist/	L	6
New Politics Magazine	https://mediabiasfactcheck.com/new-politics-magazine/	L	5
New Republic	https://mediabiasfactcheck.com/new-republic/	L	6.5
New Statesman	https://mediabiasfactcheck.com/new-statesman/	L	5
New York Magazine	https://mediabiasfactcheck.com/new-york-magazine/	L	5
New Yorker	https://mediabiasfactcheck.com/new-yorker/	L	5.25
News Corpse	https://mediabiasfactcheck.com/news-corpse/	L	8
News Hounds	https://mediabiasfactcheck.com/newshounds/	L	7.75
NewsLogue	https://mediabiasfactcheck.com/newslogue/	L	7.75
NowThisNews	https://mediabiasfactcheck.com/nowthis-news/	L	5.75
